ip,cn,id,name,country,dns,port_forward,protocol,offline
84.252.92.18,macau404,macau,Macao,MO,macau.privacy.network,True,ikev2,
84.252.92.16,macau404,macau,Macao,MO,macau.privacy.network,True,meta,
84.252.92.19,macau404,macau,Macao,MO,macau.privacy.network,True,ovpntcp,
84.252.92.23,macau404,macau,Macao,MO,macau.privacy.network,True,ovpnudp,
84.252.92.18,macau404,macau,Macao,MO,macau.privacy.network,True,wg,
86.107.104.249,hongkong404,hk,Hong Kong,HK,hk.privacy.network,True,ikev2,
86.107.104.241,hongkong404,hk,Hong Kong,HK,hk.privacy.network,True,meta,
86.107.104.245,hongkong404,hk,Hong Kong,HK,hk.privacy.network,True,ovpntcp,
86.107.104.245,hongkong404,hk,Hong Kong,HK,hk.privacy.network,True,ovpnudp,
86.107.104.251,hongkong404,hk,Hong Kong,HK,hk.privacy.network,True,wg,
37.120.205.203,montreal434,ca,CA Montreal,CA,ca-montreal.privacy.network,True,ikev2,
37.120.205.194,montreal434,ca,CA Montreal,CA,ca-montreal.privacy.network,True,meta,
37.120.205.195,montreal434,ca,CA Montreal,CA,ca-montreal.privacy.network,True,ovpntcp,
37.120.205.206,montreal434,ca,CA Montreal,CA,ca-montreal.privacy.network,True,ovpnudp,
37.120.205.216,montreal434,ca,CA Montreal,CA,ca-montreal.privacy.network,True,wg,
181.214.218.56,brussels419,belgium,Belgium,BE,brussels.privacy.network,True,ikev2,
181.214.218.4,brussels419,belgium,Belgium,BE,brussels.privacy.network,True,meta,
181.214.218.56,brussels419,belgium,Belgium,BE,brussels.privacy.network,True,ovpntcp,
181.214.218.57,brussels419,belgium,Belgium,BE,brussels.privacy.network,True,ovpnudp,
181.214.218.52,brussels419,belgium,Belgium,BE,brussels.privacy.network,True,wg,
169.150.197.70,zurich408,swiss,Switzerland,CH,swiss.privacy.network,True,ikev2,
169.150.197.129,zurich408,swiss,Switzerland,CH,swiss.privacy.network,True,meta,
169.150.197.75,zurich408,swiss,Switzerland,CH,swiss.privacy.network,True,ovpntcp,
169.150.197.85,zurich408,swiss,Switzerland,CH,swiss.privacy.network,True,ovpnudp,
169.150.197.88,zurich408,swiss,Switzerland,CH,swiss.privacy.network,True,wg,
